"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Total","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Hombres","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Mujeres","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Hablantes_de_lengua_indígena","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Población_con_alguna_discapacidad","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Cambio_de_residencia",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	20,"Oaxaca","2024","26.9394888338015","26.4566152031708","27.3468599851617","30.88462532984","30.4217655174901","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	21,"Puebla","2024","21.7386326865626","21.5976201779751","21.8658574258145","ND","26.8430961447948","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	22,"Querétaro","2024","73.2119611788928","73.5720115258415","72.8881238778569","52.8415076670959","67.2520113005693","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	23,"Quintana_Roo","2024","87.3923420368221","86.9664206301997","87.8158396479569","85.542815580934","84.8074886695752","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	24,"San_Luis_Potosí","2024","41.9108943030659","42.8236642092663","41.085011644796","24.3552311435523","33.9957510843587","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	25,"Sinaloa","2024","86.856841474898","86.3218186522674","87.366831197546","ND","83.9196488858879","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	26,"Sonora","2024","79.8657198040401","79.5368676808432","80.1714390991182","30.5152449815442","76.9626046562616","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	27,"Tabasco","2024","73.5521707321792","73.0347852867976","74.0190125120265","ND","67.3846482483623","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	28,"Tamaulipas","2024","82.4118709548923","82.4137645458352","82.4101017993167","72.21670113615","81.8127471718937","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	29,"Tlaxcala","2024","42.8116326875576","42.3891870171996","43.1835016878167","23.126318686359","41.8218303835779","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","43.9751663299913","43.7938375249609","44.1347996982644","19.8191835759305","40.4394109172403","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	31,"Yucatán","2024","87.314060028009","87.0669193978763","87.5440097263727","77.9071090201432","87.0879147446498","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	32,"Zacatecas","2024","34.2206192039082","34.0675408929178","34.3609526927031","ND","39.6003242165365","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	00,"Estados_Unidos_Mexicanos","2022","55.5148484004634","55.575689948773","55.4588245848793","36.2182653915429","52.1417629055985","61.1563638699358",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	01,"Aguascalientes","2022","78.4990382943507","77.7461154587728","79.1812574024166","ND","76.6159395364836","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	02,"Baja_California","2022","85.3054950517716","85.3121664747109","85.2989378695447","58.9922680412371","82.7076010973247","NA",
